date,presenter,pmid,title,journal,authors,doi,abstract,notes,pdf
2025-10-30,,41165715,Olfaction and Coronary Heart Disease.,JAMA otolaryngology-- head & neck surgery,"Chamberlin, Keran W; Li, Chenxi; Kucharska-Newton, Anna; Luo, Zhehui; Reeves, Mathew et al.",10.1001/jamaoto.2025.3740,"IMPORTANCE: Poor olfaction may be associated with incident coronary heart disease (CHD) in older adults, but empirical evidence is limited. OBJECTIVE: To investigate the association of olfaction with risk of CHD. DESIGN, SETTING, AND PARTICIPANTS: This population-based, retrospective analysis of secondary data from the Atherosclerosis Risk in Communities Study, an ongoing prospective cohort, included 5142 US older adults who did not have CHD and had olfaction as assessed at visit 5. At-risk part...",,
2025-10-30,,41165702,Screening for Hepatitis C in Emergency Departments.,JAMA,"Baird, Geoffrey; Kerr, William; Ressler, Kristie",10.1001/jama.2025.17076,,,
2025-10-30,,41165699,Proton Beam vs Intensity-Modulated Radiotherapy in Olfactory Neuroblastoma.,JAMA otolaryngology-- head & neck surgery,"Tang, Anthony; Adida, Samuel; Donohue, Jack; Olson, Brennan; Krippaehne, Elise et al.",10.1001/jamaoto.2025.3816,"IMPORTANCE: Adjuvant radiotherapy can improve locoregional control and survival in patients with olfactory neuroblastoma (ONB), particularly with advanced-stage and histologic-grade disease. Standard radiotherapy treatment is with intensity-modulated radiotherapy (IMRT). Proton beam radiotherapy (PBRT) provides theoretical advantages in greater sparing of dose to uninvolved organs at risk. OBJECTIVE: To investigate if there are differences in the effectiveness and radiation treatment-related adv...",,
2025-10-30,,41165688,"""Caring"" as Part of Health Care Quality.",JAMA,,10.1001/jama.2024.18998,,,
2025-10-30,,41165685,Gingival Swelling and Frequent Epistaxis in an Older Woman.,JAMA otolaryngology-- head & neck surgery,"Colella, Giuseppe; Boschetti, Ciro Emiliano; Cirillo, Nicola",10.1001/jamaoto.2025.3587,,,
2025-10-30,,41165684,Letter From a Hopeful Daughter.,JAMA,"Goloff, Naomi",10.1001/jama.2025.18753,,,
2025-10-30,,41165682,Screening for Hepatitis C in Emergency Departments-Reply.,JAMA,"Haukoos, Jason; Linas, Benjamin P; Rowan, Sarah E",10.1001/jama.2025.17080,,,
2025-10-30,,41165681,What Is Uveitis?,JAMA,"Angulo, Maria Isabel; Barajas, Miguel; Vela, Monica",10.1001/jama.2025.16917,,,
2025-10-30,,41165680,Screening for Hepatitis C in Emergency Departments.,JAMA,"Fleurence, Rachael L; Collins, Francis S",10.1001/jama.2025.17074,,,
2025-10-30,,41165679,A Rare Presentation of a Sinonasal Tumor.,JAMA otolaryngology-- head & neck surgery,"Radulesco, Thomas; Ebode, Dario; Michel, Justin",10.1001/jamaoto.2025.3715,,,
2025-10-30,,41165676,Keratinocyte Carcinoma: A Review.,JAMA,"Wehner, Mackenzie R",10.1001/jama.2025.18749,"IMPORTANCE: Keratinocyte carcinomas are skin cancers that arise from keratinocytes and are composed of basal cell carcinomas (BCCs) and cutaneous squamous cell carcinomas (cSCCs). Keratinocyte carcinomas are common in North America, Australia, New Zealand, and Europe. Approximately 5.4 million keratinocyte carcinomas are diagnosed in the US annually. OBSERVATIONS: Keratinocyte carcinomas are primarily located on the head and neck (40%-64% of BCCs; 35%-45% of cSCCs). BCC typically presents as a p...",,
2025-10-30,,41165672,Protecting the Contralateral Palatine Tonsil.,JAMA otolaryngology-- head & neck surgery,"Rettig, Eleni M; Chen, Michelle; Van Abel, Kathryn M",10.1001/jamaoto.2025.3318,,,
2025-10-30,,41165077,Parental Decision-Making in Management of Childhood Hearing Loss: A Systematic Review.,The Laryngoscope,"Ensing, Amy E; Pandya, Meha; Speaker, Richard B; Lieu, Judith E C",10.1002/lary.70237,"OBJECTIVE: When counseling parents regarding the management of their child's hearing loss (HL), understanding parents' motivations is paramount. Our objective was to synthesize the factors affecting parental decision-making regarding hearing device initiation in the existing literature. DATA SOURCES: Embase, Ovid Medline, Scopus, The Cochrane Library, APA PsycINFO, CINAHL Plus, and ClinicalTrials.gov. METHODS: A medical librarian conducted a systematic search for publications on parental decisio...",,
2025-10-30,,41165069,Dysphagia Characteristics in High Versus Low Vagal Unilateral Vocal Fold Paralysis.,The Laryngoscope,"Marker, Madeline Miles; Gallagher, Liam W; Puri, Aanish; Hoffmeister, Jesse; Lunos, Scott et al.",10.1002/lary.70229,"OBJECTIVE: To compare instrumental swallow assessment findings and diet recommendations in high versus low vagal unilateral vocal fold paralysis (UVFP). METHODS: Retrospective review of patients with UVFP who underwent instrumental swallow assessment, September 2019-February 2024. Demographics, Eating Assessment Tool-10 (EAT-10) score, flexible laryngoscopy findings, instrumental swallow parameters, diet recommendations, treatment modalities, and posttreatment outcomes were analyzed. RESULTS: Ni...",,
2025-10-30,,41165068,Manometric Pattern Predicts the Outcome of Transoral Swallowing Surgery for Pharyngeal Dysphagia.,The Laryngoscope,"Chitose, Shun-Ichi; Fukahori, Mioko; Sato, Fumihiko; Hamakawa, Sachiyo; Ono, Takeharu et al.",10.1002/lary.70225,"OBJECTIVE: Transoral swallowing surgery (TOSS) based on endoscopic cricopharyngeal myotomy (ECPM) in combination with fat injection laryngoplasty (FIL) and/or pharyngeal flap surgery (PFS) is a useful treatment option for pharyngeal dysphagia. However, no quantitative evaluation method has been established to predict surgical outcomes. This study aimed to clarify swallowing pressure conditions that affect the outcome of TOSS for pharyngeal dysphagia. METHODS: Twenty-two patients with pharyngeal ...",,
2025-10-30,,41165060,General Versus Local Anesthesia in Stapes Surgery for Otosclerosis: Systematic Review and Meta-Analysis.,The Laryngoscope,"Bahrami, Mahdi; Bayat, Reza; Akbari, Abolfazl; Alipour, Mohammad; Afzalzadeh, Mohammadreza et al.",10.1002/lary.70211,"OBJECTIVE: The aim of this study was to investigate the influence of type of anesthesia on audiometric results, surgery duration, quality-of-life and complications associated with stapes surgery in patients with otosclerosis. DATA SOURCES: A comprehensive literature search was conducted in five databases, including PubMed, Embase, SCOPUS, WoS, and Google Scholar. REVIEW METHODS: We have identified studies comparing the outcomes of stapes surgery under local-anesthesia (LA) versus general-anesthe...",,
2025-10-30,,41164995,A Novel Murine Model of Acute Laryngeal Injury After Intubation.,The Laryngoscope,"Davis, Ruth J; Kreuser, Hannah; Lunga, Tadeas; Schaub, Ryan E; Thibeault, Susan L",10.1002/lary.70244,"OBJECTIVE(S): Acute laryngeal injury (ALgI) occurs in over 50% of patients after intubation and mechanical ventilation and is associated with significantly worse voice, breathing, and swallowing outcomes. Currently, there are no small animal models for the study of ALgI and its progression to glottic stenosis. The objective of this study was to develop and validate a novel murine model of ALgI. METHODS: Thirty adult C57BL/6 mice underwent chemomechanical injury to the posterior glottis, and 16 c...",,
2025-10-29,,41160415,Health Care Professionals Sponsored for H-1B Visas in the US.,JAMA,"Liu, Michael; Patel, Vishal R; Ramesh, Tarun; Vyas, Darshali A; Wadhera, Rishi K",10.1001/jama.2025.20931,,,
2025-10-29,,41160046,AI-Enabled Echocardiography Interpretation With Multitask Deep Learning.,JAMA,"Zhang, Yi; Feng, Jia; Wen, Qian",10.1001/jama.2025.16623,,,
2025-10-29,,41160035,AI-Enabled Echocardiography Interpretation With Multitask Deep Learning-Reply.,JAMA,"Holste, Gregory; Oikonomou, Evangelos K; Khera, Rohan",10.1001/jama.2025.16627,,,
2025-10-29,,41160021,AI-Enabled Echocardiography Interpretation With Multitask Deep Learning.,JAMA,"Wu, Pin-Hsuan; Ho, Yi-Yu; Chang, Ching-Mao",10.1001/jama.2025.16625,,,
2025-10-29,,41160009,H-1B Visa Program and Implications for Health Care.,JAMA,"Abughanimeh, Omar; Abu Ghanimeh, Mouhanna",10.1001/jama.2025.19626,,,
2025-10-29,,41159835,Personalized Hemodynamic Resuscitation Targeting Capillary Refill Time in Early Septic Shock: The ANDROMEDA-SHOCK-2 Randomized Clinical Trial.,JAMA,"Hernandez, Glenn; Ospina-Tascón, Gustavo A; Kattan, Eduardo; Ibarra-Estrada, Miguel; Ramasco, Fernando et al.",10.1001/jama.2025.20402,"IMPORTANCE: The optimal strategy for hemodynamic resuscitation in early septic shock remains uncertain. OBJECTIVE: To determine the effect of a personalized hemodynamic resuscitation protocol targeting capillary refill time (CRT-PHR) on a hierarchical composite outcome of mortality, duration of vital support, and length of hospital stay. DESIGN, SETTING, AND PARTICIPANTS: This randomized clinical trial was conducted in 86 centers in 19 countries. Patients within the first 4 hours of septic shock...",,
2025-10-29,,41159833,Development and Validation of the Sequential Organ Failure Assessment (SOFA)-2 Score.,JAMA,"Ranzani, Otavio T; Singer, Mervyn; Salluh, Jorge I F; Shankar-Hari, Manu; Pilcher, David et al.",10.1001/jama.2025.20516,"IMPORTANCE: Acute dysfunction of vital organs is the hallmark of critical illness. The Sequential Organ Failure Assessment (SOFA) score, the most widely adopted approach to describe organ dysfunction, has not been updated in 30 years and therefore may not appropriately capture current clinical practice and outcomes. OBJECTIVES: To inform the data-driven component of an updated score (SOFA-2) in varied geographical and resource settings (stages 6-8) after expert input via a modified Delphi proces...",,
2025-10-29,,41159832,Personalized Hemodynamic Resuscitation Targeting Capillary Refill Time in Early Septic Shock: Research Summary.,JAMA,,10.1001/jama.2025.20962,,,
2025-10-29,,41159826,A Revision to Organ Failure Assessment in Critically Ill Patients.,JAMA,"Seymour, Christopher W",10.1001/jama.2025.20255,,,
2025-10-29,,41159825,Sodium Bicarbonate in Severe Acidemia and Acute Kidney Injury-Turning the Tide or Chasing a Myth?,JAMA,"Kusirisin, Prit; Zampieri, Fernando G; Bagshaw, Sean M",10.1001/jama.2025.20457,,,
2025-10-29,,41159824,Capillary Refill Time in Sepsis-Searching for the Holy Grail.,JAMA,"Machado, Flavia R; Semler, Matthew W",10.1001/jama.2025.20518,,,
2025-10-29,,41159812,Sodium Bicarbonate for Severe Metabolic Acidemia and Acute Kidney Injury: The BICARICU-2 Randomized Clinical Trial.,JAMA,"Jung, Boris; Jabaudon, Mathieu; De Jong, Audrey; Bitker, Laurent; Audard, Jules et al.",10.1001/jama.2025.20231,"IMPORTANCE: The effect of sodium bicarbonate infusion on outcome in patients with severe metabolic acidemia and moderate to severe acute kidney injury is unknown. OBJECTIVE: To determine whether sodium bicarbonate infusion is associated with day 90 all-cause mortality in patients with severe metabolic acidemia and moderate to severe acute kidney injury. DESIGN, SETTING, AND PARTICIPANTS: Randomized, open-label, clinical trial conducted with 640 patients in 43 French intensive care units from Oct...",,
2025-10-29,,41159727,Contribution of Tinnitus Burden and Hearing Loss to Geriatric Depression.,The Laryngoscope,"Chamoun, Joseph; Larson, Peter; Altaye, Mekibib; Tabangin, Meredith; Sun, Daniel Q et al.",10.1002/lary.70228,"OBJECTIVE: Determine if tinnitus is a potential confounding variable in the study of hearing loss and depression in older populations. METHODS: This is a retrospective cross-sectional study using data from the 2005 to 2006, 2009 to 2010 and 2017 to 2020 National Health and Nutrition Examination Survey. The subpopulation (n = 2352) was aged > 69 years. We selected a cutoff of 69 years to focus specifically on elderly adults; as a result, these findings are not generalizable to younger adults with...",,
2025-10-29,,41159714,Metrics of Proficiency in a 3D-Printed Spatially-Calibrated Flexible Nasolaryngoscopy Trainer.,The Laryngoscope,"Clements, Anna Christina; Fernández-Penny, Felix E; Bindschadler, Michael; Le, Huy; Meyer, Tanya K et al.",10.1002/lary.70230,"OBJECTIVE(S): Flexible nasolaryngoscopy (FNL) is a fundamental skill in otolaryngology. It is typically learned in clinical settings, with impacts on patient comfort and safety. Objective assessment, specific feedback, and a better understanding of learner trajectory in a simulation setting could improve the efficiency of FNL training and ultimately improve the patient experience. This study sought to employ a novel FNL model with trajectory tracking to identify metrics and critical steps that d...",,
2025-10-29,,41159677,Quantitative Olfactory Dysfunction and Parosmia After COVID-19: An Observational Cohort Study.,The Laryngoscope,"Mogensen, Ditte Gertz; Jacobsen, Rikke Kart; Backer, Vibeke; Jarden, Mary; Petersen, Janne",10.1002/lary.70235,"OBJECTIVES: Olfactory dysfunction (OD) is a common post-COVID-19 condition; however its prognosis remains unclear. This study aims to describe patient characteristics across different types of post-COVID-19 OD (C19OD), identify factors influencing the persistence of parosmia, and investigate the impact of parosmia on quantitative olfactory function. METHODS: In this longitudinal cohort study, 190 patients with C19OD were recruited from an otorhinolaryngology department in Denmark. Patients had a...",,
2025-10-29,,41159661,Synchronous Regeneration: Key Mechanism for Selective Reinnervation in Bilateral Vocal Fold Paralysis.,The Laryngoscope,"Li, Meng; Chen, Mengjie; Song, Wei; Zheng, Hongliang; Zhu, Wei et al.",10.1002/lary.70224,"OBJECTIVE: This study investigates the mechanisms underlying the success of the present selective laryngeal reinnervation technique in bilateral vocal fold paralysis, providing a foundation for future clinical applications. METHODS: Seven healthy Beagle dogs underwent selective reinnervation of the left recurrent laryngeal nerve (RLN): the adductor branch was reinnervated with the thyrohyoid branch of the hypoglossal nerve, and the abductor branch with the phrenic nerve root. Preoperative evalua...",,
2025-10-29,,41159249,In Response to Parotid Pleomorphic Adenoma and Apparent Diffusion Coefficient.,The Laryngoscope,"Abend, Audrey; Keir, Graham; Krishnan, Karthik; Kim, Jessica; Strauss, Sara et al.",10.1002/lary.70064,,,
2025-10-29,,41158109,The Influence of Nasal Cavity Dimensions on Frequency of Treatment for Rhinitis Symptoms.,International forum of allergy & rhinology,"Levi, Lirit; Mohan, Vivek; Ma, Yifei; Meliadis, Christoforos; Gopi, Paramesh et al.",10.1002/alr.70060,A wearable headband treats nasal congestion using acoustic resonance and AI-estimated anatomy. Individuals with higher nasal depth-to-height ratio used acoustic therapy more often. Depth-to-height ratio may be an anatomical marker for increased nasal congestion risk.,,
2025-10-29,,41158102,"Letter to the Editor Regarding ""Uncovering Key Features for Predicting Comorbid Chronic Eosinophilic Pneumonia in Chronic Rhinosinusitis via Machine Learning"".",International forum of allergy & rhinology,"Li, Wenjun; Hong, Fanghong",10.1002/alr.70063,,,
2025-10-27,,41151453,High-salt intake exacerbates endolymphatic hydrops and alters aldosterone regulation in a Ménière's disease animal model.,"Auris, nasus, larynx","Kinoshita, Makoto; Kakigi, Akinobu; Katsutani, Yuki; Kamogashira, Teru; Koda, Kento et al.",10.1016/j.anl.2025.10.010,"OBJECTIVE: Ménière's disease (MD) causes episodic vertigo and fluctuating hearing loss and is pathologically characterized by endolymphatic hydrops (EHs), often resulting from impaired endolymph absorption in the endolymphatic sac (ES). Although salt restriction is widely recommended, its mechanistic basis remains unclear. This study aims to examine how ES dysfunction and dietary salt intake interactively affect endolymphatic homeostasis, vestibular function, and aldosterone regulation. METHODS:...",,
2025-10-28,,41147986,"Audio Highlights: October 3, 2025.",JAMA,,10.1001/jama.2024.18969,,,
2025-10-28,,41147520,Performing a Pediatric Tracheostomy May Be an Ethical Dilemma.,The Laryngoscope,"Messner, Anna H",10.1002/lary.70212,,,
2025-10-27,,41144826,Vocal Fold Injection and Thyroplasty Trends From 2012 to 2022 Among Medicare Beneficiaries.,The Laryngoscope,"Huynh, Pauline P; Sung, C Kwang; Jiang, Nancy",10.1002/lary.70226,"OBJECTIVE(S): To characterize utilization patterns of laryngeal injection procedures (augmentation and therapeutic) and medialization thyroplasty from 2012 to 2022, with particular attention to practice setting, bilateral procedures, and impact of the 2017 Healthcare Common Procedure Coding System (HCPCS) update. METHODS: The Centers for Medicare and Medicaid Services (CMS) Physician/Supplier Procedure Summary (PSPS) Master dataset from 2012 to 2022 was utilized in this analysis. HCPCS codes spe...",,
2025-10-27,,41144815,Patient Perception of Pain With Medialization Thyroplasty Surgery.,The Laryngoscope,"Patry, Melissa; Roohi, Elnaz; Rose, Peter; Karmali, Shamir; Hu, Amanda",10.1002/lary.70222,"OBJECTIVES: Medialization thyroplasty (MT) is a procedure used to treat glottal insufficiency. It is conducted with the patient under procedural sedation for vocal feedback. The objective of this study is to evaluate the patient's perception of pain after MT surgery. METHODS: Prospective observational study. Patients undergoing MT completed the validated short-form McGill Pain Questionnaire (SF-MPQ) before surgery and post-operative days (PODs) 1 and 7, and Voice Handicap Index-10 questionnaire ...",,
2025-10-27,,41144245,Artificial Intelligence and Diabetes Prevention.,JAMA,"Perreault, Leigh",10.1001/jama.2025.20099,,,
2025-10-27,,41144242,An AI-Powered Lifestyle Intervention vs Human Coaching in the Diabetes Prevention Program: A Randomized Clinical Trial.,JAMA,"Mathioudakis, Nestoras; Lalani, Benjamin; Abusamaan, Mohammed S; Alderfer, Mary; Alver, Defne et al.",10.1001/jama.2025.19563,"IMPORTANCE: Prediabetes is common, yet evidence-based lifestyle interventions are underutilized. OBJECTIVE: To determine whether referral to an exclusively artificial intelligence (AI)-led lifestyle intervention based on the Diabetes Prevention Program (DPP) is noninferior to referral to a human-led DPP in achieving recommended thresholds for weight loss, hemoglobin A1c (HbA1c) reduction, and weekly physical activity among adults with prediabetes and overweight or obesity. DESIGN, SETTING, AND P...",,
2025-10-27,,41143927,Utility of the Questionnaire of Olfactory Disorders-Negative Statements in Age-Related Olfactory Dysfunction.,American journal of rhinology & allergy,"Duffy, Alexander; Soler, Zachary M; LaPointe, Kristina A; Schlosser, Rod J",10.1177/19458924251382100,"BackgroundOlfactory dysfunction (OD) is both under-recognized and underdiagnosed in aging adults. Prior studies in chronic rhinosinusitis have demonstrated a correlation between the Questionnaire of Olfactory Disorders-Negative Statements (QOD-NS) and psychophysical olfactory testing, indicating potential utility for screening in this group. This study examined the correlation between QOD-NS scores, psychophysical function, and olfactory-associated patient-reported outcome measures (PROMs) in a ...",,
2025-10-27,,41143832,Stillbirths in the United States.,JAMA,"Sullivan, Haley K; Sinaiko, Anna D; Fox, Kathe; Armstrong, Joanne C; Clapp, Mark A et al.",10.1001/jama.2025.17392,,,
2025-10-27,,41143830,State Mifepristone Regulation Following GenBioPro v Raynes.,JAMA,"Donley, Greer; Grossman, Lewis A; Zettler, Patricia J",10.1001/jama.2025.19752,,,
2025-10-27,,41143822,Life Expectancy After the COVID-19 Pandemic-Reply.,JAMA,"Schwandt, Hannes; Kowarski, Jonathan; Woolf, Steven H",10.1001/jama.2025.16405,,,
2025-10-27,,41143809,The Need for Oversight Over Apps for Substance Use Reduction.,JAMA,"Russell, Alex M; Colditz, Jason B; Allem, Jon-Patrick",10.1001/jama.2025.19143,,,
2025-10-27,,41143807,Life Expectancy After the COVID-19 Pandemic.,JAMA,"Wilson, Katlin T; Esposito, Madison L; Martinez, Antoinette",10.1001/jama.2025.16403,,,
2025-10-27,,41143461,Sex differences in CRSwNP: focus on histopathological endotypes and recurrence.,Rhinology,"Chen, W; Wang, H; Wang, D; Li, W; Li, Y et al.",10.4193/Rhin25.348,"BACKGROUND: Chronic rhinosinusitis with nasal polyps (CRSwNP) exhibits sex-specific differences in prevalence and clinical presentation. However, the underlying histopathological characteristics and recurrence remain underexplored. METHODOLOGY: A retrospective cohort of 410 CRSwNP patients (287 males, 123 females) undergoing endoscopic sinus surgery between January 2021 and June 2024 was analyzed. Histological evaluation was employed by H&E staining and features of inflammatory profile were iden...",,
2025-10-27,,41143434,Ex-vivo and replica measurements of nasal tract resonances.,Rhinology,"Havel, M; Sundberg, J",10.4193/Rhin24.382,"BACKGROUND: The nose is a resonator, the acoustic properties of which are determined by its shape. Due to its complex anatomy and hence intricate acoustical response the identification of universal acoustic characteristics of nasalized vowels and consonants is challenging. The purpose of this investigation was to 1) elucidate acoustic properties of the nasal resonator, 2) document how the paranasal sinuses affect it, and 3) examine if 3D-replicas of anatomical specimens provide reliable data for...",,
2025-10-27,,41143389,Clinical management of dupilumab-induced blood eosinophilia in CRSwNP: a practical algorithm.,Rhinology,"De Corso, E; Caminati, M; Hellings, P W; Montuori, C; Reitsma, S et al.",10.4193/Rhin25.266,"Dupilumab is widely recognised as a highly effective therapy for severe chronic rhinosinusitis with nasal polyps (CRSwNP). A rise in blood eosinophil count (BEC) might occur during treatment across all approved indications. In CRSwNP, dupilumab-induced blood eosinophilia (DIBE) is typically of early onset, transient, and asymptomatic without impairing the drug's efficacy. A review including data from 11 clinical trials on all approved dupilumab indications reported eosinophilia-related clinical ...",,
2025-10-26,,41139237,A Phase 1 Research Trial to Evaluate the Safety and Effectiveness of Intranasal Botulinum Toxin Type A Spray for Patients With Rhinitis.,International forum of allergy & rhinology,"Bates, James; Liaw, Joshua; Girling, Kathryn; Banks, Alecia; Gannon, Sean et al.",10.1002/alr.70058,"BACKGROUND: Botulinum toxin type A is a potent neurotoxin and was first approved for use in 1989; since there has been a surge in its uses. The latest international trend is the unapproved use of botulinum toxin for allergic and nonallergic rhinitis, being advertised as ""Haytox."" METHODS: A single-group open-label non-randomized Phase 1 clinical trial was completed. Rhinitis and nonallergic rhinitis were confirmed via formalized examination and testing with total IgE and radioallergosorbent test...",,
2025-10-24,,41138441,Results of transoral injection laryngoplasty in the apneic window.,"Auris, nasus, larynx","Türe, Nurullah; Telli, Serkan; Kibar, Onur",10.1016/j.anl.2025.10.009,"OBJECTIVES: The aim of this study was report the feasibility, safety profile, and within-patient voice outcomes of transoral injection laryngoplasty performed during a protocolized apneic window in unilateral vocal fold paralysis (UVFP). METHODS: This retrospective single-arm cohort study included patients who underwent transoral IL in the apneic window because of UVFP between February 2021 and March 2024. The following parameters were compared before and after the injection: GRBAS, maximum phon...",,
2025-10-25,,41138146,In Response to Frontal Sinus Patency After Sinus Surgery Using Triamcinolone-Impregnated Plant-Based Sinus Spacers.,The Laryngoscope,"Tewfik, Marc A; Ajit-Roger, Emily; Almutawa, Deema; Alreefi, Mahmoud",10.1002/lary.70109,,,
2025-10-23,,41135212,Clinical and pathological characteristics of CRS with nasal polyps in patients with asthma-COPD overlap.,"Auris, nasus, larynx","Mukai, Masayoshi; Nakanishi, Haruka; Matsui, Kanako; Sato, Emiri; Nonaka, Manabu et al.",10.1016/j.anl.2025.10.007,"OBJECTIVE: Bronchial asthma (BA) and Chronic Obstructive Pulmonary Disease (COPD) have been considered as independent diseases, but in recent years, Asthma and COPD Overlap (ACO), which combines characteristics of BA and COPD, has been defined. Chronic rhinosinusitis (CRS) with nasal polyps and BA, both caused by similar type 2 inflammation, often coexist and are considered to have a ""one airway, one disease"" relationship. In ACO, airway inflammatory cells of BA (eosinophils and CD4 METHODS: Six...",,
2025-10-24,,41134592,One in 5 Young Adults Use Cannabis or Alcohol to Fall Asleep.,JAMA,"Anderer, Samantha",10.1001/jama.2025.17528,,,
2025-10-24,,41134591,Mortality Risk Study Offers Good News for Patients With Narcolepsy.,JAMA,"Pant, Shravya",10.1001/jama.2025.17527,,,
2025-10-24,,41134590,Errors in the Text and Tables.,JAMA,,10.1001/jama.2025.21028,,,
2025-10-24,,41134589,Closed-Loop Insulin Delivery in Type 1 Diabetes in Pregnancy: The CIRCUIT Randomized Clinical Trial.,JAMA,"Donovan, Lois E; Lemieux, Patricia; Dunlop, Amy D; Yamamoto, Jennifer M; Murphy, Helen R et al.",10.1001/jama.2025.19578,"IMPORTANCE: Hyperglycemia-related pregnancy complications occur in 50% of pregnant women with type 1 diabetes. Closed-loop insulin systems improve glycemia outside of pregnancy but have had limited testing in pregnancy. OBJECTIVE: To assess the efficacy of a closed-loop system in pregnancy. DESIGN, SETTING, AND PARTICIPANTS: Open-label trial enrolling pregnant women with type 1 diabetes at 14 clinical centers in Canada and Australia before 14 weeks' gestation with follow-up until 6 weeks postpar...",,
2025-10-24,,41134584,Automated Insulin Delivery in Pregnancy.,JAMA,"Polsky, Sarit",10.1001/jama.2025.19201,,,
2025-10-24,,41134583,New Guidance on Cardiovascular Disease and COVID-19-From Infection to Long COVID to Vaccination.,JAMA,"Abbasi, Jennifer",10.1001/jama.2025.18834,,,
2025-10-24,,41134580,Lesser-Known Lobular Breast Cancer on the Rise.,JAMA,"Pant, Shravya",10.1001/jama.2025.17524,,,
2025-10-24,,41134568,Grip Strength Linked to Lower Risk of Obesity-Related Disease and Death.,JAMA,"Anderer, Samantha",10.1001/jama.2025.17523,,,
2025-10-24,,41134567,Cannabis Use Increased Among People With Psychosis Following State Legalization.,JAMA,"Pant, Shravya",10.1001/jama.2025.17522,,,
2025-10-24,,41134564,Study Reveals Early Brain Changes in Younger Contact-Sport Athletes.,JAMA,"Bock, Anna",10.1001/jama.2025.18839,,,
2025-10-24,,41134554,"WHO Report Raises Alarm on Clinician Mental Health, Working Conditions.",JAMA,"Pant, Shravya",10.1001/jama.2025.17526,,,
2025-10-24,,41133943,The Effect of Tonsillectomy on Sleep Architecture in Pediatric Patients With Obstructive Sleep Apnea.,The Laryngoscope,"Mansoor, Basir S; Zhang, Matthew; Pasapula, Varun; Chorney, Stephen R; Kou, Yann-Fuu et al.",10.1002/lary.70219,"OBJECTIVES: To evaluate the impact of pediatric adenotonsillectomy (T&A) on sleep architecture, related sleep factors, and respiratory parameters in children with obstructive sleep apnea (OSA), stratified by disease severity. METHODS: We analyzed 300 consecutive children who underwent full-night polysomnography (PSG) before and after T&A between January 2021 and March 2022. Patients were stratified into severe (apnea-hypopnea index [AHI] > 10 events/h or SpO RESULTS: The cohort included 233 (78%...",,
